GO:0106414	mRNA dihydrouridine synthase activity	56931
GO:0003690	double-stranded DNA binding	24138
GO:0003690	double-stranded DNA binding	5591
GO:0003690	double-stranded DNA binding	22944
GO:0003690	double-stranded DNA binding	3428
GO:0003690	double-stranded DNA binding	54840
GO:0003690	double-stranded DNA binding	22861
GO:0003690	double-stranded DNA binding	5303
GO:0003690	double-stranded DNA binding	11232
GO:0003690	double-stranded DNA binding	4913
GO:0003690	double-stranded DNA binding	6772
GO:0003690	double-stranded DNA binding	8815
GO:0003690	double-stranded DNA binding	10771
GO:0003690	double-stranded DNA binding	55775
GO:0003690	double-stranded DNA binding	3192
GO:0003690	double-stranded DNA binding	10635
GO:0003690	double-stranded DNA binding	85364
GO:0003690	double-stranded DNA binding	1663
GO:0003690	double-stranded DNA binding	6256
GO:0003690	double-stranded DNA binding	201254
GO:0003690	double-stranded DNA binding	1660
GO:0003691	double-stranded telomeric DNA binding	2547
GO:0003691	double-stranded telomeric DNA binding	3104
GO:0003691	double-stranded telomeric DNA binding	7014
GO:0003691	double-stranded telomeric DNA binding	7520
GO:0003691	double-stranded telomeric DNA binding	79618
GO:0003691	double-stranded telomeric DNA binding	328
GO:0003691	double-stranded telomeric DNA binding	5813
GO:0003691	double-stranded telomeric DNA binding	7013
GO:0017154	semaphorin receptor activity	5362
GO:0017154	semaphorin receptor activity	55558
GO:0017154	semaphorin receptor activity	23129
GO:0017154	semaphorin receptor activity	5364
GO:0017154	semaphorin receptor activity	5365
GO:0017154	semaphorin receptor activity	23654
GO:0003697	single-stranded DNA binding	56652
GO:0003697	single-stranded DNA binding	80169
GO:0003697	single-stranded DNA binding	55086
GO:0003697	single-stranded DNA binding	5395
GO:0003697	single-stranded DNA binding	84893
GO:0003697	single-stranded DNA binding	170506
GO:0003697	single-stranded DNA binding	83932
GO:0003697	single-stranded DNA binding	79035
GO:0003697	single-stranded DNA binding	4437
GO:0003697	single-stranded DNA binding	4436
GO:0003697	single-stranded DNA binding	3146
GO:0003697	single-stranded DNA binding	6742
GO:0003697	single-stranded DNA binding	3148
GO:0003697	single-stranded DNA binding	3329
GO:0003697	single-stranded DNA binding	10923
GO:0003697	single-stranded DNA binding	5888
GO:0003697	single-stranded DNA binding	6419
GO:0003697	single-stranded DNA binding	5437
GO:0003697	single-stranded DNA binding	57599
GO:0003697	single-stranded DNA binding	3512
GO:0003697	single-stranded DNA binding	5093
GO:0003697	single-stranded DNA binding	5457
GO:0003697	single-stranded DNA binding	1408
GO:0003697	single-stranded DNA binding	8939
GO:0003697	single-stranded DNA binding	2073
GO:0003697	single-stranded DNA binding	2072
GO:0003697	single-stranded DNA binding	10623
GO:0003697	single-stranded DNA binding	126074
GO:0003697	single-stranded DNA binding	57109
GO:0003697	single-stranded DNA binding	25939
GO:0003697	single-stranded DNA binding	254528
GO:0003697	single-stranded DNA binding	78995
GO:0003697	single-stranded DNA binding	675
GO:0003697	single-stranded DNA binding	56941
GO:0003697	single-stranded DNA binding	79991
GO:0003697	single-stranded DNA binding	5890
GO:0003697	single-stranded DNA binding	3178
GO:0003697	single-stranded DNA binding	5892
GO:0003697	single-stranded DNA binding	5893
GO:0003697	single-stranded DNA binding	64073
GO:0003697	single-stranded DNA binding	9987
GO:0003697	single-stranded DNA binding	11315
GO:0003697	single-stranded DNA binding	51444
GO:0003697	single-stranded DNA binding	158401
GO:0003697	single-stranded DNA binding	3508
GO:0003697	single-stranded DNA binding	4175
GO:0003697	single-stranded DNA binding	4176
GO:0003697	single-stranded DNA binding	5813
GO:0003697	single-stranded DNA binding	6118
GO:0003697	single-stranded DNA binding	6119
GO:0003697	single-stranded DNA binding	4173
GO:0003697	single-stranded DNA binding	5814
GO:0003697	single-stranded DNA binding	6117
GO:0003697	single-stranded DNA binding	64859
GO:0003697	single-stranded DNA binding	4292
GO:0003697	single-stranded DNA binding	641
GO:0003697	single-stranded DNA binding	7150
GO:0003697	single-stranded DNA binding	51567
GO:0003697	single-stranded DNA binding	55775
GO:0003697	single-stranded DNA binding	3192
GO:0003697	single-stranded DNA binding	7156
GO:0003697	single-stranded DNA binding	23168
GO:0003697	single-stranded DNA binding	10635
GO:0003697	single-stranded DNA binding	2067
GO:0003697	single-stranded DNA binding	1663
GO:0003697	single-stranded DNA binding	7508
GO:0003697	single-stranded DNA binding	63901
GO:0003697	single-stranded DNA binding	1660
GO:0035259	nuclear glucocorticoid receptor binding	6867
GO:0061750	acid sphingomyelin phosphodiesterase activity	6609
GO:0008311	double-stranded DNA 3'-5' DNA exonuclease activity	11277
GO:0030247	polysaccharide binding	3122
GO:0030247	polysaccharide binding	3123
GO:0030247	polysaccharide binding	8987
GO:0030247	polysaccharide binding	348174
GO:0030247	polysaccharide binding	283971
GO:0036435	K48-linked polyubiquitin modification-dependent protein binding	56893
GO:0036435	K48-linked polyubiquitin modification-dependent protein binding	51035
GO:0036435	K48-linked polyubiquitin modification-dependent protein binding	55793
GO:0036435	K48-linked polyubiquitin modification-dependent protein binding	7415
GO:0036435	K48-linked polyubiquitin modification-dependent protein binding	130617
GO:0036435	K48-linked polyubiquitin modification-dependent protein binding	54629
GO:0036435	K48-linked polyubiquitin modification-dependent protein binding	9641
GO:0004923	leukemia inhibitory factor receptor activity	3977
GO:0004923	leukemia inhibitory factor receptor activity	3572
GO:0004860	protein kinase inhibitor activity	64798
GO:0004860	protein kinase inhibitor activity	4690
GO:0004860	protein kinase inhibitor activity	1027
GO:0004860	protein kinase inhibitor activity	1026
GO:0004860	protein kinase inhibitor activity	142679
GO:0004860	protein kinase inhibitor activity	54920
GO:0004860	protein kinase inhibitor activity	5611
GO:0004860	protein kinase inhibitor activity	1028
GO:0004860	protein kinase inhibitor activity	140775
GO:0004860	protein kinase inhibitor activity	10221
GO:0004860	protein kinase inhibitor activity	84335
GO:0004860	protein kinase inhibitor activity	9467
GO:0004860	protein kinase inhibitor activity	81848
GO:0004860	protein kinase inhibitor activity	10614
GO:0004860	protein kinase inhibitor activity	51562
GO:0004860	protein kinase inhibitor activity	79706
GO:0004860	protein kinase inhibitor activity	55742
GO:0004860	protein kinase inhibitor activity	7529
GO:0004860	protein kinase inhibitor activity	5859
GO:0004860	protein kinase inhibitor activity	51527
GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity	1027
GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity	1026
GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity	1029
GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity	388324
GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity	124790
GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity	10614
GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity	1032
GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity	1030
GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity	1031
GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity	8850
GO:0004862	cAMP-dependent protein kinase inhibitor activity	5569
GO:0004862	cAMP-dependent protein kinase inhibitor activity	5577
GO:0004862	cAMP-dependent protein kinase inhibitor activity	5576
GO:0004862	cAMP-dependent protein kinase inhibitor activity	5575
GO:0004862	cAMP-dependent protein kinase inhibitor activity	5573
GO:0004862	cAMP-dependent protein kinase inhibitor activity	51422
GO:0004862	cAMP-dependent protein kinase inhibitor activity	6608
GO:0004864	protein phosphatase inhibitor activity	4249
GO:0004864	protein phosphatase inhibitor activity	57650
GO:0004864	protein phosphatase inhibitor activity	3485
GO:0004864	protein phosphatase inhibitor activity	22853
GO:0004864	protein phosphatase inhibitor activity	6992
GO:0004864	protein phosphatase inhibitor activity	51657
GO:0004864	protein phosphatase inhibitor activity	10776
GO:0004864	protein phosphatase inhibitor activity	116224
GO:0004864	protein phosphatase inhibitor activity	84152
GO:0004864	protein phosphatase inhibitor activity	5764
GO:0004864	protein phosphatase inhibitor activity	91272
GO:0031704	apelin receptor binding	8862
GO:0031707	endothelin A receptor binding	1906
GO:0004867	serine-type endopeptidase inhibitor activity	6590
GO:0004867	serine-type endopeptidase inhibitor activity	89777
GO:0004867	serine-type endopeptidase inhibitor activity	334
GO:0004867	serine-type endopeptidase inhibitor activity	10653
GO:0004867	serine-type endopeptidase inhibitor activity	259
GO:0004867	serine-type endopeptidase inhibitor activity	5054
GO:0004867	serine-type endopeptidase inhibitor activity	5274
GO:0004867	serine-type endopeptidase inhibitor activity	5275
GO:0004867	serine-type endopeptidase inhibitor activity	5270
GO:0004867	serine-type endopeptidase inhibitor activity	5271
GO:0004867	serine-type endopeptidase inhibitor activity	5272
GO:0004867	serine-type endopeptidase inhibitor activity	2
GO:0004867	serine-type endopeptidase inhibitor activity	302
GO:0004867	serine-type endopeptidase inhibitor activity	710
GO:0004867	serine-type endopeptidase inhibitor activity	5045
GO:0004867	serine-type endopeptidase inhibitor activity	5104
GO:0004867	serine-type endopeptidase inhibitor activity	5345
GO:0004867	serine-type endopeptidase inhibitor activity	5265
GO:0004867	serine-type endopeptidase inhibitor activity	1992
GO:0004867	serine-type endopeptidase inhibitor activity	11005
GO:0004867	serine-type endopeptidase inhibitor activity	5269
GO:0004867	serine-type endopeptidase inhibitor activity	351
GO:0004867	serine-type endopeptidase inhibitor activity	643394
GO:0004869	cysteine-type endopeptidase inhibitor activity	3827
GO:0004869	cysteine-type endopeptidase inhibitor activity	1472
GO:0004869	cysteine-type endopeptidase inhibitor activity	5275
GO:0004869	cysteine-type endopeptidase inhibitor activity	4057
GO:0004869	cysteine-type endopeptidase inhibitor activity	57448
GO:0004869	cysteine-type endopeptidase inhibitor activity	1447
GO:0004869	cysteine-type endopeptidase inhibitor activity	1471
GO:0004869	cysteine-type endopeptidase inhibitor activity	1476
GO:0004869	cysteine-type endopeptidase inhibitor activity	6317
GO:0004869	cysteine-type endopeptidase inhibitor activity	1475
GO:0004869	cysteine-type endopeptidase inhibitor activity	6695
GO:0047939	L-glucuronate reductase activity	10327
GO:0140765	NAD-dependent histone H3K56 deacetylase activity	51548
GO:0004511	tyrosine 3-monooxygenase activity	7054
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	6926
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	4609
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	9208
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	23040
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	55509
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	6721
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	7227
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	3725
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	30832
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	23440
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	4783
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	9839
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	4149
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	5629
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	338917
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	7050
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	7593
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	84619
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	11279
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	10664
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	2019
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	9569
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	3280
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	7699
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	7753
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	153572
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	10522
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	283150
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	4335
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	5460
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	5463
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	5465
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	5467
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	11278
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	3642
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	6097
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	64376
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	5308
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	7799
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	50674
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	11107
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	7728
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	9572
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	79733
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	7528
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	4488
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	11063
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	165
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	6591
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	23462
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	653121
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	169792
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	9096
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	2908
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	138151
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	51513
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	100381270
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	344658
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	65986
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	7975
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	10127
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	6909
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	2309
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	49854
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	6668
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	7639
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	429
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	6304
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	2077
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	1390
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	23493
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	57473
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	7022
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	7020
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	7025
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	6935
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	7707
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	7704
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	55145
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	79755
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	3394
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	155061
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	148398
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	3090
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	5978
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	79191
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	5970
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	57215
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	430
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	571
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	1876
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	1877
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	6929
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	3297
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	11016
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	83482
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	8820
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	51222
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	3087
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	2114
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	22797
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	3607
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	2625
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	63976
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	639
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	467
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	463
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	30009
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	4776
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	9745
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	9580
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	4775
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	6615
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	7644
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	3170
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	4601
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	27033
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	8187
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	7764
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	4779
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	7767
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	1748
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	55657
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	2023
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	79365
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	5813
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	5814
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	604
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	6497
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	4084
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	79413
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	140685
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	6498
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	64412
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	59348
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	80712
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	30818
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	10472
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	6943
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	6945
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	5458
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	1051
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	3235
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	79923
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	53335
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	5457
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	80317
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	2672
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	58495
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	23528
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	9421
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	10481
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	170302
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	339344
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	57659
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	112939
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	26508
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	8553
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	4799
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	4790
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	54862
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	1045
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	1602
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	122953
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	90993
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	2004
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	57158
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	57621
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	9925
GO:0003985	acetyl-CoA C-acetyltransferase activity	39
GO:0003985	acetyl-CoA C-acetyltransferase activity	38
GO:0003985	acetyl-CoA C-acetyltransferase activity	10449
GO:0001221	transcription coregulator binding	9421
GO:0001221	transcription coregulator binding	1499
GO:0001221	transcription coregulator binding	3159
GO:0001221	transcription coregulator binding	5080
GO:0001221	transcription coregulator binding	7291
GO:0004515	nicotinate-nucleotide adenylyltransferase activity	349565
GO:0004515	nicotinate-nucleotide adenylyltransferase activity	23057
GO:0004515	nicotinate-nucleotide adenylyltransferase activity	64802
GO:0001223	transcription coactivator binding	367
GO:0001223	transcription coactivator binding	11016
GO:0001223	transcription coactivator binding	6778
GO:0001223	transcription coactivator binding	9464
GO:0001222	transcription corepressor binding	27148
GO:0001222	transcription corepressor binding	51341
GO:0001222	transcription corepressor binding	80764
GO:0001222	transcription corepressor binding	9572
GO:0001222	transcription corepressor binding	4848
GO:0001222	transcription corepressor binding	2113
GO:0004518	nuclease activity	1653
GO:0004518	nuclease activity	5359
GO:0004518	nuclease activity	1763
GO:0004519	endonuclease activity	6419
GO:0004519	endonuclease activity	27044
GO:0004519	endonuclease activity	55728
GO:0004519	endonuclease activity	80198
GO:0004519	endonuclease activity	9941
GO:0004519	endonuclease activity	5896
GO:0004519	endonuclease activity	10595
GO:0004519	endonuclease activity	2073
GO:0004519	endonuclease activity	328
GO:0004519	endonuclease activity	57109
GO:0004519	endonuclease activity	22894
GO:0005021	vascular endothelial growth factor receptor activity	8829
GO:0005021	vascular endothelial growth factor receptor activity	2321
GO:0005021	vascular endothelial growth factor receptor activity	5156
GO:0005021	vascular endothelial growth factor receptor activity	3791
GO:0005021	vascular endothelial growth factor receptor activity	2324
GO:0005026	transforming growth factor beta receptor activity, type II	269
GO:0005026	transforming growth factor beta receptor activity, type II	7048
GO:0005025	transforming growth factor beta receptor activity, type I	657
GO:0005025	transforming growth factor beta receptor activity, type I	7046
GO:0005025	transforming growth factor beta receptor activity, type I	94
GO:0005024	transforming growth factor beta receptor activity	7046
GO:0005024	transforming growth factor beta receptor activity	7049
GO:0005024	transforming growth factor beta receptor activity	94
GO:0005024	transforming growth factor beta receptor activity	7048
GO:0031839	type 1 neuromedin U receptor binding	10874
GO:0001848	complement binding	1380
GO:0031386	protein tag activity	9636
GO:0002039	p53 binding	10197
GO:0002039	p53 binding	6794
GO:0002039	p53 binding	57680
GO:0002039	p53 binding	23476
GO:0002039	p53 binding	1263
GO:0002039	p53 binding	2932
GO:0002039	p53 binding	672
GO:0002039	p53 binding	55602
GO:0002039	p53 binding	7874
GO:0002039	p53 binding	8550
GO:0002039	p53 binding	3091
GO:0002039	p53 binding	112858
GO:0002039	p53 binding	56254
GO:0004534	5'-3' RNA exonuclease activity	51692
GO:0004534	5'-3' RNA exonuclease activity	54464
GO:0004534	5'-3' RNA exonuclease activity	167227
GO:1902122	chenodeoxycholic acid binding	9971
GO:0141046	Atg8-family conjugating enzyme activity	64422
GO:0005201	extracellular matrix structural constituent	22795
GO:0005201	extracellular matrix structural constituent	284217
GO:0005201	extracellular matrix structural constituent	2192
GO:0005201	extracellular matrix structural constituent	7837
GO:0005201	extracellular matrix structural constituent	2200
GO:0005201	extracellular matrix structural constituent	4147
GO:0005201	extracellular matrix structural constituent	7057
GO:0005201	extracellular matrix structural constituent	3915
GO:0005201	extracellular matrix structural constituent	3913
GO:0005201	extracellular matrix structural constituent	3912
GO:0005201	extracellular matrix structural constituent	3910
GO:0005201	extracellular matrix structural constituent	4811
GO:0005201	extracellular matrix structural constituent	7045
GO:0005201	extracellular matrix structural constituent	7148
GO:0005201	extracellular matrix structural constituent	1805
GO:0005201	extracellular matrix structural constituent	1286
GO:0005201	extracellular matrix structural constituent	1281
GO:0005201	extracellular matrix structural constituent	2335
GO:0005201	extracellular matrix structural constituent	1282
GO:0005201	extracellular matrix structural constituent	7448
GO:0005201	extracellular matrix structural constituent	3371
GO:0005201	extracellular matrix structural constituent	2006
GO:0005200	structural constituent of cytoskeleton	10093
GO:0005200	structural constituent of cytoskeleton	10092
GO:0005200	structural constituent of cytoskeleton	10097
GO:0005200	structural constituent of cytoskeleton	10096
GO:0005200	structural constituent of cytoskeleton	10095
GO:0005200	structural constituent of cytoskeleton	10094
GO:0005200	structural constituent of cytoskeleton	4747
GO:0005200	structural constituent of cytoskeleton	4744
GO:0005200	structural constituent of cytoskeleton	288
GO:0005200	structural constituent of cytoskeleton	2035
GO:0005200	structural constituent of cytoskeleton	23336
GO:0005200	structural constituent of cytoskeleton	10109
GO:0005200	structural constituent of cytoskeleton	7431
GO:0005200	structural constituent of cytoskeleton	10381
GO:0005200	structural constituent of cytoskeleton	10376
GO:0005200	structural constituent of cytoskeleton	6711
GO:0036384	CDP phosphatase activity	9583
GO:0036384	CDP phosphatase activity	955
GO:0036384	CDP phosphatase activity	957
GO:0050656	3'-phosphoadenosine 5'-phosphosulfate binding	51363
GO:0050656	3'-phosphoadenosine 5'-phosphosulfate binding	6822
GO:0050656	3'-phosphoadenosine 5'-phosphosulfate binding	442038
GO:0050656	3'-phosphoadenosine 5'-phosphosulfate binding	6817
GO:0001872	(1->3)-beta-D-glucan binding	64581
GO:0032934	sterol binding	22937
GO:0005436	sodium:phosphate symporter activity	6569
